speaker_id,accent,word,distance,n_ref,speaker_dur,am_dur,norm_dist,all_dur
speaker_09,Nigerian,wanted,3.736219898069403,13,0.18,0.32769,0.2280322,0.29448
speaker_09,Nigerian,to,2.0734693875188843,13,0.22,0.20154,0.1884972,0.21731
speaker_09,Nigerian,put,2.423819303456266,13,0.14,0.17692,0.273997,0.21255
speaker_09,Nigerian,lot,1.775129369179439,13,0.24,0.19692,0.1479274,0.21529
speaker_09,Nigerian,of,2.3916243579381176,13,0.16,0.11846,0.298953,0.215
speaker_09,Nigerian,their,2.3741373280402507,13,0.16,0.17538,0.270735,0.22955
speaker_09,Nigerian,portfolio,2.5052821489253154,13,0.36,0.35385,0.1391823,0.44923
speaker_09,Nigerian,in,5.441977255854575,13,0.32,0.42769,0.254481,0.33353
speaker_09,Nigerian,one,1.7310634091474926,13,0.24,0.23692,0.1442553,0.24308
speaker_09,Nigerian,tech,1.1943694980396644,13,0.24,0.27385,0.0872292,0.27038
speaker_09,Nigerian,stock,1.2299696286068065,13,0.22,0.22923,0.1073128,0.28699
speaker_09,Nigerian,because,5.198713970225402,13,0.46,0.48308,0.2152334,0.49451
speaker_09,Nigerian,they,2.0531960828913705,13,0.24,0.20308,0.1710997,0.18034
speaker_09,Nigerian,worked,1.941661588361376,13,0.22,0.25692,0.1511473,0.31292
speaker_09,Nigerian,that,2.030413750784985,13,0.14,0.10769,0.2900591,0.17949
speaker_09,Nigerian,industry,15.769779935348492,13,1.0,0.35846,0.3153956,0.33534
speaker_09,Nigerian,and,4.471679986988621,13,0.54,0.26923,0.1656178,0.43828
speaker_09,Nigerian,felt,4.548470949467128,13,0.4,0.16769,0.2274235,0.26198
speaker_09,Nigerian,confident,3.9600577194029856,13,0.36,0.46462,0.1704661,0.47231
speaker_09,Nigerian,about,2.759849642793645,13,0.36,0.26615,0.153325,0.27569
speaker_09,Nigerian,it,2.935487758330477,13,0.4,0.28769,0.1467744,0.32602
speaker_09,Nigerian,recommended,4.254861720627886,13,0.32,0.39077,0.2177685,0.40385
speaker_09,Nigerian,more,5.20659657553334,13,0.32,0.42923,0.2426013,0.43038
speaker_09,Nigerian,diversification,8.688000006523199,13,0.58,0.66615,0.2608406,0.60738
speaker_09,Nigerian,based,8.85527912896088,13,0.52,0.67846,0.26104,0.7
speaker_09,Nigerian,on,1.7347631822711582,13,0.22,0.27077,0.1281359,0.24981
speaker_09,Nigerian,risk,2.355432768866639,13,0.28,0.23231,0.1682452,0.32447
speaker_09,Nigerian,tolerance,8.414507876466761,13,0.72,0.64769,0.2337363,0.76
speaker_09,Nigerian,pushed,2.527538920861412,13,0.3,0.23846,0.1685026,0.28824
speaker_09,Nigerian,back,0.7540823355605669,13,0.24,0.25077,0.0601415,0.27098
speaker_09,Nigerian,good,3.4295341722529544,13,0.3,0.19231,0.2286356,0.25846
speaker_09,Nigerian,insight,5.826241674776404,13,0.54,0.57538,0.2025164,0.64667
speaker_09,Nigerian,instead,6.159559890918956,13,0.3,0.39692,0.3103654,0.30423
speaker_09,Nigerian,just,5.235757515321271,13,0.34,0.19692,0.3079857,0.2317
speaker_09,Nigerian,agreeing,2.7634776912019237,13,0.4,0.35077,0.1381739,0.39796
speaker_09,Nigerian,or,12.214899137126652,13,0.84,0.33846,0.2908309,0.35714
speaker_09,Nigerian,arguing,8.131485197016866,13,0.64,0.54,0.2541089,0.60906
speaker_09,Nigerian,asked,3.1441228675711903,13,0.3,0.25692,0.2096082,0.30308
speaker_09,Nigerian,them,2.2949946735670066,13,0.16,0.13846,0.2868743,0.16846
speaker_09,Nigerian,walk,4.407671355234634,13,0.42,0.19692,0.2098891,0.22235
speaker_09,Nigerian,me,2.669461539609032,13,0.14,0.17231,0.3098482,0.16346
speaker_09,Nigerian,through,1.7980800789860223,13,0.24,0.20923,0.14984,0.24942
speaker_09,Nigerian,thinking,3.554865868443041,13,0.3,0.31538,0.2254305,0.32923
speaker_09,Nigerian,so,2.7493585884567113,13,0.28,0.33077,0.1662403,0.41895
speaker_09,Nigerian,could,3.009912580354689,13,0.16,0.18,0.3344347,0.17472
speaker_09,Nigerian,understand,3.058920810543923,13,0.38,0.35692,0.1609958,0.38577
speaker_09,Nigerian,better,3.3349590824609754,13,0.42,0.38923,0.1588076,0.46885
speaker_09,Nigerian,then,6.1104431908967385,12,0.04,0.31231,0.3913092,0.3352
speaker_09,Nigerian,we,2.2069265107692426,13,0.18,0.18923,0.2332524,0.13371
speaker_09,Nigerian,some,2.4168448777634923,13,0.24,0.21846,0.2014037,0.304
speaker_09,Nigerian,scenarios,7.281125274677899,13,0.46,0.62923,0.2314294,0.65115
speaker_09,Nigerian,like,8.459663099456701,13,0.62,0.41077,0.2728924,0.52264
speaker_09,Nigerian,what,3.9248126930529375,13,0.26,0.31846,0.2464858,0.30377
speaker_09,Nigerian,would,2.2744468927939447,13,0.16,0.13538,0.2843059,0.17885
speaker_09,Nigerian,happen,2.4548085272586757,13,0.3,0.25846,0.1636539,0.29692
speaker_09,Nigerian,if,1.8925870993291047,13,0.24,0.22308,0.1577156,0.27962
speaker_09,Nigerian,the,2.8033987032682495,10,0.16,0.13692,0.3504248,0.15279
speaker_09,Nigerian,dropped,8.07422848064403,13,0.62,0.55077,0.260459,0.64
speaker_09,Nigerian,acknowledged,2.85616703858548,9,0.32,0.27,0.1785104,0.29061
speaker_09,Nigerian,knew,1.916423571127562,10,0.24,0.17231,0.159702,0.20038
speaker_09,Nigerian,well,3.2075230031937307,10,0.46,0.32615,0.1394575,0.32157
